class,text
0,"Then later in another episode its a case of  Well Done Son Guy  as her older brother, Donnie, is portrayed as constantly seeking his father's approval and pride."
0,"   played straight in ""Todesfahrt der Linie 834""; subverted in ""Tulpen aus Amsterdam"", where the folks on the bus were part of the conspiracy"
0,"   In nearly every episode, at least one  Dienstwagen  (official vehicle) usually Semir's 3-series BMW or his partner's E-Class Mercedes is demolished."
0,") The truck is lettered for a fictional company, "" Atalay  GMBH""."
0,   often done with a car
0,"Semir investigates the murder of one of the teachers from his old high school; because his usual partner (Chris Ritter) is in the hospital, he's paired up with an older officer (Diether Bonrath) who does things the ""old school"" way."
0,You'll often see a plot development coming up behind them.
0,"   the big  Chase Scene , with cars crashing and flying through the air and  Impressive Pyrotechnics  from all the  Stuff Blowing Up"
0,This series contains examples of:   Action Girl Rebecca.
1,"By the end of the first season, it would appear that   Warden James  is the one behind the disappearances and returns."
0,Except Hauser is the kind of asshole.
1,"The end of the first season is this, ending with Rebecca on the operating table and flatlining."
1,"Whoops, make that  the end of the series ."
1,"He lets Cobb stay in solitary indefinately, but   puts another inmate who can't shut up in the same cell as him ."
0,He started killing people as revenge.
1,"In the present day,   Tommy Madsen  seems to serve as this to   the Warden ."
0,Paxton Petty stole Silver Star medals from the graves of dead soldiers to use as shrapnel in his landmines.
1,"Subverted when we find out he's actually Tommy Madsen's brother, which makes him Rebecca's great uncle by blood ."
0,She seems more intrigued then anything else though.
0,"The US federal government, unwilling to disclose that the most successful prison break in  recorded history  occurred in 1963, released an official explanation for the closing of Alcatraz and created fake transfers to other prisons (signed by Robert Kennedy himself), then later issued fake death certificates saying they all died at the prisons they were transferred to."
1,"Hauser and Lucy, they were involved, but when she disappeared as a '63, Hauser was forced to take  The Slow Path ."
1,"Episode 2 reveals that   Lucy was at Alcatraz in 1963, under the name Lucille Sengupta ."
1,"Beauregard is revealed to be working for Hauser and, like Lucy, to not have aged since the 60's."
1,"Episode 4;  Those keys the prisoners were looking for were cut with anachronistic lasers, and they open a vault under the island that certain prisoners were sent to before they all vanished."
1,"Episode 5:   Ray really is Rebecca's uncle, and he's been in contact with her grandfather."
1,"It's entirely possible that Ernest Cobb would have happily spent the rest of his life at Alcatraz in solitary, a threat to no-one... except the warden found it necessary to screw with him until he completely lost his mind,  just so he could call in Lucille Sengupta, AKA  Lucy Banerjee  for some as-of-yet undisclosed purpose."
0,":  Cobb first appears to be killing randomly, until Rebecca figures out that he kills random people in order to conceal his real targets:   15-16 year old girls, like the sister he was resentful of because their mom took care of her but abandoned him at an orphanage."
1,He also kills crows as a calling card.
1,"Kit Nelson is also this,   kidnapping and killing 11 year old boys, the same age as his brother when Kit killed him."
1,"He kidnaps them on a Friday, leaves behind a chrysanthemum in the bed, then returns the dead body Sunday evening."
1,Clarence Montgomery  was  turned  into this by Dr.
1,"Though he was wrongfully convicted of killing his white girlfriend, Dr."
1,Beauregard used a reversed version of Dr.
1,Sengupta's treatments to  make  him kill people in the same manner as which she died.
1,"Hauser, noted by Lucy who worries how much he's changed since she knew him in '63     Lucy Try not to  shoot  anyone!"
0, television series presented by famed thriller director  Alfred Hitchcock .
0,"In the episode ""Bull in a China Shop"", Hitchcock apologizes for the fact that the story features neither a bull nor a china shop."
0,Unfortunatly by the third break she is gone.
0,Unusual for its willingness to embrace a fanciful  Story Arc  about a centuries-old prophecy.
0,And apparently the global intelligence community has nothing better to do than go to war over every piece of technology he might have even glanced at.
0,So Elena is supposed to be Russian?
1,"Luckily, his body fell into a vat of special Rambaldi liquid that healed his wounds and brought him back to life ."
1,He was stuck under a collapsed pillar when Jack blew himself up .
1,"Also, the two-part episode in season 2, ""Passage"", where   Irina goes undercover with Jack and Sydney to India as a family of tourists to recover six stolen nuclear warheads , is a badass family vacation if there ever was one."
1,Jack grows one during   the year that he was held in solitary confinement for working with unsanctioned sources to learn the truth behind his daughter's apparent death .
1,"Sydney works for the government, but is abducted by criminals to perform certain high-risk jobs for them in Season 2 ."
1,"In the Season 4 premiere, we learn that   Jack killed Irina offscreen  at some point between the Season 2 and Season 3 finales."
1,"Of course, this being  Alias , it later turns out that Jack actually killed  a ''double'' of Irina ."
1,"Nadia, who discovers her parents are actually   Irina and Sloane ."
0,"It also attracts a few other freelancers, such as Sark."
1,"  Irina  had the option of being saved   by her daughter , or grabbing the Horizon."
1,"She grabs the Horizon, completely ignoring the fact that  she's on an unstable and steadily cracking glass pane ."
0,He was fine until he left a message on her answering machine using a wiretapped line.
0,If he'd only paid attention...
0,They immediately start a Die Hard plan to eliminate the enemy spies.
1,She easily could've avoided it though...
1,"Most of the cast, at some point  Sydney and her father worked for the CIA, posed as SD-6 agents    Lauren  worked for the Covenant, but posed as an NSA agent  Sark is always claiming to work for someone or other, but is usually just out for himself"
0,There's dysfunctional and then there's the Bristow family.
0,Fake Russian Sark is a Russian man with a  fake British accent  portrayed by American actor David Anders.
1,"Turns out to be a  Xanatos Gambit  by Sloane himself and as part of it, his wife cut off her own finger and posted it to him."
1,"Played with in respect to Emily Sloane, though ultimately   subverted, as Sloane was pulling this on  himself  and Emily was in on the con ."
1,Being a love interest other than Vaughn seems to be deadly.
0,"Passage I/II: Jack (and the audience) gets to see Irina Derevko in bra and panties, and she gives her 'husband' a good, long look."
1,"Played with, though, because   ""The Man"" is actually Irina, a woman ."
1,"Animal Motifs One of Sydney's call signs   after she returned from the ""dead""  was  ""Phoenix"" ; Jack's call signs are all birds (""Blackbird"" with SD-6, ""Raptor"" with the CIA)."
0,"They wrote the character as American, cast an Australian who can do a serviceable American accent, and make her an American raised in England."
0," Do not  mess with Sydney or you'll be dealing with Jack, and you will  not  be in good shape after."
1,"In Season 2, halfway through,   Sydney and the CIA bring down the entire Alliance, including SD-6, Sydney starts to work for the  real  CIA in the open, and  her relationships with Vaughn, Sloane, Sark, and Dixon all change, and her relationships with her father and Marshall remain basically the same."
1,"In Season 3,   after Sydney's 2-year memory hole, faked death, etc."
1,"Sydney finds that Vaughn is   married , her dad   is in jail , Dixon   is the director of the LA office of the CIA , Sloane is   living in Europe as a philanthropist,  and other things."
1,The interesting thing is that all of the original characters are maintained (minus   Will and Francie ) despite all of the changes in the show.
1,"The same might be said of any show, but in  Alias  all of the characters completely change teams at least once and repeatedly betray one another, some of them over and over, in ways that would destroy most real (and even most TV) relationships."
1,This how Sydney knows that   Francie  is an imposter.
1,"Sydney offers her some coffee ice cream, something the real   Francie  hated, and she accepts."
1,Extra cool because   Jack gets to hook up with her .
0,"This element is used more than fight sequences, as torture sequences involve less choreography."
0,"He turned from sweet, mild mental patient to master-assassin upon completion of the piece."
1,"""  ""Syd... since that night...   you were missing."
1,You've been missing for almost two years .
1,"And the people who live there   can make you forget your family and work for them, or simply drug you and drain you of your emotions to keep the local population under their control."
1,"The bad guys kidnap people from our world   including  children  and drain them of their emotions,  Mooks  are sentenced to decapitation with frequency, and keep the populace in control with drugs."
1,  Dodo  just shoots  Hatter .
1,"Luckily,   Hatter  has a  Bulletproof Vest ."
1,"When Charlie fires his crossbow toward the end, and  thinks  he   blows up the Hearts Casino  because the timing happens to be spot-on."
0,"I'd make the Hearts think I was working for them, while I fed their enemies."
1,"Hatter effing earned that hug   and kiss  he got in the last scene, with all that he went through for Alice."
1,"The Queen of Hearts keeps the residents of Wonderland happy  and controlled  by harvesting positive emotions from captive humans and selling them to the populace as ""teas"" through ""Tea Shops"", like the one Hatter owns/operates."
1,"The dead   Winston King of Hearts, Carpenter/Robert Hamilton, Walrus, and potentially Agent White  are all men."
1,Duchess  could have theoretically qualified for expendable because    Redemption Equals Death  but it was averted in her case.
1,Somebody had to rescue  Jack
1,"And   The Carpenter's  Heel Face Turn , but that was more  paternal  love."
1,"  Jack, quite literally, who also doubles as a  Runaway Fianc  from an  Arranged Marriage ."
1,He fits better as a  Gender Flip  of  Rebellious Princess  than as a  Rebel Prince .
0,Why does the aerial transport look like a blend of a Vespa and a flamingo?
0,":  One of the last times we see the Duchess, she's wearing  Jane Fonda 's outfit from  Barbarella ."
1,"Winston, the King of Hearts   is  Driven to Suicide ."
1,The nickname of the card 'the king of hearts' is 'the suicide king'.
1,The Oysters are barefoot and that is what connects them to the  Lotus-Eater Machine .
0,"Though not stated outright (at least as far as  I  remember), Hatter can punch hard enough to leave a small crater in a wall."
1,"  Dodo  actually  does , but  Hatter  is prepared."
1,"  Dodo, about Hatter, after he shoots him."
1,"Thankfully, it doesn't take."
1,  Jack  Heart  is engaged to Duchess the entire time he and Alice are dating.
0, with a  Sitcom  twist: the minority partner is a space alien.
0,"The television series, based on the film  Alien Nation , lasted for 22 episodes from September, 1989 to May, 1990."
0,They are extremely strong and can learn quickly.
0,"George's name was originally ""Sam Francisco"", but he changed it at Matt's request."
0," Slag Like Me , an  Expanded Universe  novel in which a human reporter goes undercover as a Newcomer and reports on their experiences."
1,  the cop who taught Matt in the force  frames George for stealing drugs.
1,"Unfortunately,  Matt and Cathy's child was unable to survive after being born, due to her mixed genetics ."
1," /  Tykebomb The Udara ""seeded"" sleeper agents to fight the Overseers during slavery, many of whom were children, including   Emily ."
0,"In the pilot, Emily is befriended by Molly, daughter of the Francisco's neighbor."
0,"After the series was canceled, the story was continued in a series of  Tie-In Novels ."
0,The yeast-fermented stuff that we humans prefer has no effect on them.
0,"Tenctonese  erogenous zones are entirely different  from humans (shoulder blades, wrists, temples), enabling them to make out on network TV."
0,"Although they look moderately similar to humans, Tenctonese cannot metabolize cooked protein, so most of their diet consists of raw animals."
0,Racism aside that's pretty damn impressive.
1,"a few, such as   the old Newcomer man who hunts down Overseers and kills them  and   the leader of the binnaums who has those who leave his order killed"
1,"Unusually for this trope, by the end of the episode one of the explanations is disproved   the robber had no mystical powers, he was just trying to get a chance to escape  we aren't given any sort of conclusive answer, aside from the rather lacklustre medical explanation."
0,"The Newcomers have great strength, stamina, durability, ability to survive in environments humans can't, extra hearts, and if they overdose on an  extraterrestrial   narcotic , they transform into  murderous, supercharged berserkers ."
0,"But wait, it gets better, when after getting her to come to his house, he goes to the next room to have a phone conversation in which he brags about how he's going to ""bag the slag""; Emily, like all Newcomers, has superhearing."
0,Newcomer flesh dissolves on contact with  salt water .
0,"In the final movie, George and Susan have basically this argument about the Udara."
0,"The show ran from 1978 to 1980, had two  Christmas Episodes  in 1983 and 1985, and came back to run from 1988 to 1990, concluding with another Christmas Episode."
0,"The  Theme Tune ,  Piano Parchment , is  particularly lovely ."
0,"Routinely lampshaded in the books when Herriot mentions that he doesn't doubt that the modern vet student will look at his descriptions of their treatments of the time and consider them to be unbelievably barbaric (lungworm, for example, was treated with turpentine squirted into the lungs)."
0,Calum has a badger!
0,"Both are also genuinely likable personalities, in an eccentric way."
0,"The show is set in North Yorkshire, so thickly accented farmers in flat caps are the norm."
0,Is it any wonder that his coworkers ended up with the names  Siegfried and Tristan ?
0,The impact of the show was such that it became the focus of a heated national debate on whether the use of comedy was an appropriate means by which to combat prejudice and social inequality.
0,"However, in ""Lionel Steps Out,"" he puts Archie in his place (not too nicely) when he crosses the line and tries to stop him from dating his white niece."
0,Even the Jeffersons were mentioned and appeared again after being spun-off.
0,"Archie used to be one, and only could quit when Edith threatened to leave him."
0,Was the first television show to feature a toilet flushing.
0,"He has a problem with religion and is outraged when Archie baptized his son behind his back, but in the long run Archie's the one who always picks fights with Mike about it."
0,Archie's lodge is in trouble for not having any black or Jewish members.
0,So he suggests that they invite one black to join - Solomon Jackson.
0,And Archie and Edith travel West to visit the Stivics for Christmas in season 9.
0,"A more straight example happened in ""Stretch Cunningham, Goodbye"", where the titular recurring character dies and both Archie and the audience discovers he was Jewish."
1, Edith was used sparingly in the first season of  Archie Bunker's Place  before dying of a stroke offscreen.
1,Variation - just whether or not   Mike and Gloria get back together or go through with their divorce  is unclear.
1,It simply gives a vague closing scene of everyone calmly sitting by the Christmas tree.
1,"The  Gloria  spinoff says that   he does leave her , but how canon that was is up for debate."
0,"She was, indeed, as Archie often called her, a ""dingbat"", but she was also much more socially sensitive and moral than him."
1,"(Maria, Hans Geering, the original Leclerc and  eventually, the British Airmen, though they returned for a brief appearance in the finale )"
0, than you can (ahem) shake a stick at.
1,"The  Distant Finale  makes it decidedly  un ambiguous, as he's hooked up with  Helga ."
1,I am eloping!!!
1,"""Come Helga, stand beneath the brim of my  wide Gestapo hat."
0,   Subverted with the three suicide pill rings; they all turn out to be duds.
0,"""  As Ren put it: ""He's a man of a thousand disguises... every one the same."
0,The real paintings would go to Ren and the Germans in theory but with everyone trying to short everyone it all got horrible confused.
0,"Poor Edith, despite being a clever woman, always falls for Ren's transparent lies when she catches him cheating on her."
1,They are prominently displayed during   Ren's execution  in the season 1.
0,"""  During the ""escape from the prisoner of war camp"" arc there's a number of little shout outs to  The Great Escape , as they put dirt in Rene's trousers so he can dump it around the camp (in the original they had inside pockets that released the dirt)."
0,"   The first seven seasons took place over only a few months, then two years pass between the seventh and eighth."
0, chronicling  the rivalry between two choirs  and the lives of their musical directors.
0,"The less-talented choristers find themselves sacked from the choir; Esther finds herself jilted by Michael, who sets up home with Layla."
0,"She knows ""this one song"" and starts to sing it."
0,":  ""The Game Boy comes in white, black, red, yellow, or...wicked see-through!"
0,Thelma and Deacon Frye are the most egregious offenders.
0,Deacon Frye fakes a marriage to Inga so she could fool an INS agent and stay in the country.
0,Not until Thelma finally tells her off does she admit that her son is the only family she has left and that she was afraid of losing him.
0,"A six-episode arc in the fourth season has Thelma joining the Army, with  predictable results , despite initially presenting herself as a very competent would-be soldier."
1,"Surprisingly, Deacon Frye defends her   after he delivers her baby ."
1,He also convinces the baby's father to marry her in a later episode.
0,"And at times, they just goofed off."
1,She also chains her son Beau up in the attic because of a genetic deformity.
1,It's further implied that she physically and certainly emotionally abused Tate.
1,"Unlike most examples,   Moira  has the opportunity to actually scream."
1,"Like one of the twins Vivian is carrying...    And he's starting in early, as three years after Constance decides to raise him, he murders his nanny."
1,How   Nora Montgomery  committed suicide   after killing her husband out of grief over her  mutated baby .
1,"  All of the Harmons die and are trapped in the House with all the other ghosts forever, but are actively working to make sure no other family ends up like them and are finally happy,  Together in Death ."
1,"Constance is also finally happy, but is raising the  Anti Christ ."
1,"Tate, finally remorseful, is left alone, pining for Violet from afar but may earn her forgiveness one day."
1,Larry Harvey claims that the horrible burns he received when he   supposedly killed his family  were from saving children from a burning school bus.
1,"Ben checked up on his past, forcing Larry to confess that he  didn't  kill his wife and children."
1,"Upon confessing to his wife Lorraine that he had fallen for Constance, Lorraine locked herself in a room upstairs with their daughters."
1,They died in the fire she set.
1,"He wasn't even burned there, he was burned sometime later when Tate set him on fire."
1,Revealed to have been the work of the rubber suit man.
1,"In the flashback in ""Home Invasion,"" the nurse who is referred to as a ""lezzie"" is drowned in the bathtub later that same scene."
1,"Charles used a  still-beating heart  to resurrect it, but it came back with a craving for blood, resulting in Nora attempting to kill it."
1,Chekhovs Cupcakes: the cupcakes Constance brought over for Violet.
1,"One is eaten by one of the home invaders, which makes her ill and results in her not joining the other two in the basement."
1,"Chekhovs Crime: A subtle one, but the cop at the end of the second episode said that   Bianca was found blocks away from the murder house, cut in half."
1,He said that it looked like her friends tried to do a Black Dahlia on her.
1,And how do they carry Travis' corpse out of the house?
1,"The realtor had an actual gun   which Vivien later stole and accidentally shot her husband with  In fact, quite a lot of the onscreen deaths are caused by guns."
1,"  Moira, killed by Constance long before the series began."
1,"This is how Constance knew about the house's power, as they were living there at the time."
1,Violet did not survive her overdose!
1,"This trope could possibly apply to almost anyone in the cast, there's a lot of ambiguity about who's alive and who's dead."
1,She stabs him to death after the second time.
1,"As he was dead, it didn't affect him."
0,"After her encounter in the Harmons' basement, this seems to have happened with  Leah  and Violet."
1,She's phased out entirely after Violet dies .
1,"In another, it was having sex with Luke the security guard, Ben,  and  the rubber suit man."
0,She wasn't asleep.
1,Violet shows signs of this   after she discovers the truth of what Tate had done .
1,"It's further compounded when   she looks for Tate in the basement and instead finds one of the nurses, the two home invaders, and Charles, leading to her being  Driven to Suicide ."
1,What is being done to   Vivien by the ghosts.
1,"Constance is starting to show signs, especially after   she discovers that Tate raped Vivien ."
1,"It resurfaces in her monologue near the end of ""Afterbirth""."
1,"  After being  Driven to Madness , Violet intentionally overdoses."
1,"Tate,  screaming and sobbing at her not to die on him , drags her to the bathroom...but is unsuccessful in saving her life."
1,"On subsequent tours of the house, Marcy says this is what happened to   Ben ."
1,"  The baby-thing in the basement that attacks  Leah , nearly attacks Violet, and is responsible for the death of the twins."
1,"If Tate can be believed, this is Thaddeus, the son of Charles and Nora Montgomery, killed in revenge for an abortion and  resurrected using a ''still-beating heart''  by Charles."
1,Somewhat subverted in that all she really wants   is for someone to find her bones so she can pass on.
1,"Tate is a (literally)  Axe Crazy , lying, young man who has obsession with a younger girl and a   mentally challenged sibling , and is first introduced with the  Kill Bill  whistle tune playing and who is  clearly  not the lead character in the 1969 movie  Twisted Nerve ."
1,"Though considering she's a   ghost , it's ambiguous which appearance is real and which is false."
1,Both are the real appearance; Ben sees her as she looked before she   died  whereas Vivien sees her as how she looks after the fact.
1,"What is most likely the situation with   one of Vivien's twins, specifically the one Vivien and Rubber Man conceived during the pilot ."
1,"It started kicking  at eight weeks , then was revealed on the ultrasound to be much further along...and  made the nurse faint ."
1,"When Vivien meets her again, she claims she saw what can be interpreted as  The Antichrist ."
1,The basement incident gives subtle hints that   Tate already knows he's  Dead All Along .
1,He switches places with Thaddeus several times before appearing next to Violet to watch .
0,Marcy invokes this when she pulls a gun on Larry during the open house.
1,Violet flees the house but keeps ending back inside no matter how many times she tries   because she died and is now a ghost trapped in the house .
1,"Under the pretense of fellatio, she  bites his penis off ."
1,Vivian's twins were fathered by Tate  and  Ben.
1,"  After Ben is killed,  another family buys the house."
1,"Ben and Vivien effectively save their lives by convincing them to leave shortly afterward,  scaring the ever-loving hell out of them  in the process."
1,Marcy has to redouble her efforts to sell it.
1,"As the show has been confirmed for a second season, this will possibly happen again."
0,"Somewhat averted in that Murphy has stated that the next season will feature a different location and a different story, with some of the actors staying but even then only to play brand new characters."
1,Raped and killed inside the house.
1,"Her appearance is also  Foreshadowing , as   Travis' body is mutilated the same way hers was ."
1,"For Moira, after   Larry Harvey discovers her bones while digging a hole to bury Hayden in ."
1,"Dashed when   her bones are not removed, Hayden is buried with her,  and  Ben builds a gazebo on top of them !"
0,One of Vivien's twins is stillborn.
1,"  Tate's son apparently inherited his dad's psychotic tendencies, if the nanny he murdered at  three years old  is any indication."
0,"However, he has several major misconceptions about how to go about it."
1,"When   Ben was shot, he  didn't go to the hospital because it was just a through and through."
1,None of the Harmons survive.
1,"Really, this show has killed off almost every cast member."
1,Constance and Larry are the only major characters who are still alive.
1, Addie is struck by a car while trying to join other trick-or-treaters.
1,"The brutal irony is that the accident was caused by   the mask Addie's mother gave her to look like a ""pretty girl"", which blocked her peripheral vision."
1,"Charles Montgomery,   driven insane after his son is murdered ."
1,"Travis handles   being murdered  rather well, only being bummed that he won't be famous now."
1,"He even asks if he was in the news   after his body is found , then requests newspaper clippings."
1,He plans on starting a scrapbook.
1,Constance's reaction to   Adelaide being hit by a car  is  heartbreaking .
1,It plays as the new buyers flee the house.
1,Tate's whistled theme?
1,"Heard again as   Constance finds his son and the body of the boy's nanny, who he had killed."
1,"After Patrick walked into the room, he killed him as well."
1,It's a  Dream Sequence !
1,The trailer for episode 10 implies that Tate is going to kill Violet.
1,"He does not, instead revealing that she's been  Dead All Along  since her overdose."
1,"He was also one of the few to treat Adelaide with dignity, and after he dies, he even spends time playing with Larry's daughters."
0,:  Violet only wants to move in the house after the real estate ladies tells the family about the murders.
1,Some of which he has acted on.
1,"They don't even notice her being  Driven to Madness , overdosing, and  dying ."
1,"In her own words, they think she's depressed."
1,"Constance doesn't have many redeeming qualities, but you feel damn sorry for her when   Adelaide gets hit by a car and she tries desperately to keep from losing her."
1,What she says to Adelaide's ghost.
1,"As of ""Birth""   Constance  also counts."
1,"Billie Dean, the medium who Constance contacts after   Violet discovers that Tate's dead ."
1,"Tate and Violet, torpedoed near the end of the season once Violet learns that Tate killed Chad and Patrick and raped her mother."
1,And they really  are  dead!
1,   right before he commits  Suicide By Cop .
1,"In his case, he claims it led to him killing his family and horribly burning himself... and later reveals that he'd lied about killing his family."
1,"It's also mentioned in the Rubber Man episode that   Patrick  started sleepwalking after he moved in, suggesting the house tends to have this effect on its residents."
1,He doesn't stick around long enough for anything to develop from it.
1,"In ""Afterbirth"" we learn why,   It's Loraine waking them up and leading them down to the stove."
1,"He's not breaking in, though."
1,Larry is a platonic version of this to Ben.
1,He keeps appearing out of nowhere and talking to him.
1,"Though Ben is repulsed by him, he apparently just wants to be buds."
1,"In episode three, he even helps Ben out by   killing Hayden."
1,"In episode 5, he willingly teams with  Hayden  to get revenge on Ben."
1,"Tate and Violet,   due to Tate being  Dead All Along ."
1,Resolved now that Violet is also  Dead All Along .
1,"And promptly  sunk , when Violet finds out Tate killed Chad and Patrick, and raped her mother."
1,"When  Hayden  shows up in episodes 4 and 5 after   Larry killed her the episode before , Ben jumps to the conclusion that they are working together to get money out of him,   despite the fact he held her dead body in his arms and built a friggin' gazebo over her burial place."
1,"When Vivien starts seeing the ghosts, he thinks she's gone crazy."
1,And even then they both think it's someone who broke in!
1,"Doesn't even notice that Violet   is dead , believing that she's only depressed."
1,It's only after   he dies  that he believes.
1,  Tate causes all sorts of tangles when it's revealed that he is the Rubber Man and the one who had sex with Vivien .
1,"His backstory has not been revealed, but he just appears at times, has a history with Constance, and from what he said at the end of ""Home Invasion,"" he seems to have an ulterior motive at the house other than receiving therapy."
1,"Episode 6 reveals that he did shoot several of his fellow students, including the ones who had hunted him down in the episode before, to the point where a full-on  SWAT team  was sent to apprehend him."
1,This led to a  Suicide By Cop .
1,The song of the same name plays in the background during a flashback sequence   where Ben and Hayden first hook up .
1,  Tate and Violet...at least until she finds out the truth about him.
1,"Ben, Vivien, Violet, and the deceased twin."
1,"However, this is not a happy ending for them."
1,"Happens to   Violet  in Smoldering Children, although subtle hints are dropped in past episodes that she is a ghost trapped in the house."
1,It's not  wanting  to leave.
1,She ''can't'' leave.
1,That's only after turning down several opportunities to leave and even threatening to run away if she can't live in Murder House.
0,"Instead of the pig man, he sees one of the nurses from the second episode."
1,"There was also a chance to sign up for a ""house call"" to come face-to-face with one of the show's characters."
1,"Episode 3, Ben after   Hayden gets whacked."
1,"Episode 6, when Tate   shoves his fingers down Violet's throat to try to keep her from dying."
1,Who knows what would have happened if she had died in that house.
1,"The Rubber Suit Man's identity is revealed, Hayden tries to marshal the ghosts against Vivien and Ben, and Ben has Vivien committed."
1,"Less of an example, but still wham-worthy, is ""Smoldering Children""."
1,"Of course, by then she's actually  one of them too , but doesn't know it at that time."
1,Too bad Charles was a drug-addicted mad scientist who   murdered a girl to put her still beating heart into the resurrected body of his formerly dismembered child.
1,Nora did say he was a genius before   she shot him in the head.
1,Thank God for that shovel...    The shovel made it worse.
1,She's now taken to tormenting the holy hell out of Vivien.
1,Tate is gradually gaining shades of this.
1,He turns full-on  Yandere  after Violet rejects him.
0,"Tate agrees , though he didn't seem sincere."
0,"Kowboy has a loose tooth...and he decides to take matters into his own hands (""Kowboy up"") and pull it out with a set of pliers."
0,It's unclear if Tyler's mom (Rick's ex) is alive or not.
0,"And the show is heavily promoted, so you'd have to have lived under a rock since the late 1990s to  not  know this show is still on, and has a different host."
0,Especially  if said child is behaving like a complete brat.
0,It's based on a segment from the Japanese show  Fun TV with Kato-chan and Ken-chan .
0,"Yes, even  this show  had one."
0,"Plenty given the nature of the show, including the occasional  Genius Bonus ."
0,"The show's chief purpose is to assist law enforcement in the apprehension of fugitives wanted for major felonies (such as murder, rape, child molestation, white collar crime, armed robbery, gang violence and terrorism)."
0,"Before the actual fight, scientists test out the abilities of the animals."
1,"Although the lion  beats the tiger  in Asia, the lion  could not beat the crocodile  in Africa."
1,"Appears in a fight between a cougar,  though it loses ."
1," Although the elephant kills the rhino, a part of one of the tusks breaks off in the process."
1,Good thing it can grow back.
